amrs_concept_id,kenyaemr_concept_uuid
1255,1255AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1256,1256AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1257,1257AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1258,1258AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1259,1259AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1260,1260AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1266,1266AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1267,1267AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1271,1271AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1272,1272AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1279,1438AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1282,1282AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1283,1283AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1285,1285AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1294,1294AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1295,1295AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1302,1302AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1304,1304AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1307,1307AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1308,1308AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1309,1309AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1319,1319AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1326,1326AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1338,1338AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1342,1342AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1343,1343AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1350,1350AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1357,159427AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1359,1359AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1362,1362AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1363,1363AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1364,1364AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1365,1365AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1368,161651AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1375,6ec3d456-ba0c-4df1-9254-4dd77037ffb8
1390,1421AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1400,161364AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1402,1402AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1405,159597AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1410,160639AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1412,161643AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1417,1417AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1427,1427AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1434,159598AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1435,146513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1436,1436AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1439,117829AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1441,148762AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1443,121543AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1446,135761AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1447,139505AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1466,123814AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1468,124601AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1471,153701AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1472,1472AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1473,1473AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1480,132652AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1486,116214AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1496,167410AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1499,159599AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1500,1500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1504,128453AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1507,1363AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1516,114662AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1527,1527AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1530,120148AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1531,148203AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1534,1534AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1535,1535AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1536,1536AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1537,1537AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1552,166541AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1555,1555AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1558,a55f9516-ddb6-47ec-b10d-cb99d1d0bd41
1561,688f487b-0c2e-4ad8-89bf-881101762cce
1565,1528AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1567,1536AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1570,1543AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1572,1572AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1573,1573AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1574,1574AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1575,1575AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1576,1576AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1577,1577AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1578,1578AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1587,6c91dbf1-030d-4946-a45d-6f747f6c867b
1589,1589AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1590,1590AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1593,160034AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1594,159492AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1595,160031AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1596,161555AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1601,1601AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1629,7a58e4da-3544-457b-84eb-014f65a01d83
1633,160533AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1639,1639AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1648,160587AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1652,1652AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1657,1657AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1658,1658AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1661,1661AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1664,121764AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1668,160582AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1669,5617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1672,1527AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1675,1560AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1692,1692AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1724,1687AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1728,1825AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1741,1526AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1743,1743AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1744,1499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1745,1500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1762,162546AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1764,162545AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1776,160538AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1779,1779AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
