amrs_concept_id,kenyaemr_concept_uuid,Category
6595,162979AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6621,160737AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6639,135591AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6654,1423AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6655,159406AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6656,159407AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6667,131021AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6687,160575AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6700,1472AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6701,1489AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6725,160570AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6734,131034AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6748,162724AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6749,160540AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6750,161358AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6781,117703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6793,160643AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6837,162819AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6895,114413AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6910,162171AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6957,162342AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6964,164505AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6966,162198AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6968,162760AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6971,142177AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6983,83352AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7013,160555AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7064,160583AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7084,163723AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7222,163104AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7293,123919AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7308,164407AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7328,127777AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7343,163309AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7350,140941AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7362,1836AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7413,160721AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7444,124068AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7502,162275AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7584,77164AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7637,161562AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7656,162189AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7755,148517AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7764,115115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7886,123084AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7890,117321AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7897,1255AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7947,1823AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7954,148787AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
7971,119270AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
8000,141830AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
8007,118976AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
8045,147104AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
8078,145438AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
8139,111525AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
8288,1658AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
8292,1659AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
8293,1729AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
8299,160572AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
8300,136163AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
8340,138010AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
